键名,类型,中文名称,中文描述,text
MEAS_MODE,VARCHAR2(256),计量方式,计量方式分三种，1为高供高计，高供指的是高压供电，也就是供电电压应该是高压，高计指的是高压侧计量，对应的计量点侧的电压等级应该高压；2为高供低计，高供指的是高压供电，也就是供电电压应该是高压，低计指的是低压侧计量，对应的计量点侧的电压等级应该低压，这种高供低计的用户应该单独收取变压器损失电量（变损）电量；3为低供低计，供电电压和计量电压都是低压。,计量方式计量方式分三种，1为高供高计，高供指的是高压供电，也就是供电电压应该是高压，高计指的是高压侧计量，对应的计量点侧的电压等级应该高压；2为高供低计，高供指的是高压供电，也就是供电电压应该是高压，低计指的是低压侧计量，对应的计量点侧的电压等级应该低压，这种高供低计的用户应该单独收取变压器损失电量（变损）电量；3为低供低计，供电电压和计量电压都是低压。
TRADE,VARCHAR2(60),用户行业类别,指用户的所属的全民经济行业类别，与sa_c_trade_type表关联,用户行业类别指用户的所属的全民经济行业类别，与sa_c_trade_type表关联
CBY,VARCHAR2(200),抄表员,用户所属的抄表员，一般抄表员负责用户的采集成功，档案核查等等信息的准确，抄表员一般按照用户的台区划片进行管理,抄表员用户所属的抄表员，一般抄表员负责用户的采集成功，档案核查等等信息的准确，抄表员一般按照用户的台区划片进行管理
CFY,VARCHAR2(200),催费员,用户所属的催费员，负责用户的应收电费的催收等等业务,催费员用户所属的催费员，负责用户的应收电费的催收等等业务
MR_SECT_NO,VARCHAR2(16),抄表段编号,指用户的抄表段编号，根据抄表段编号规则，基层单位可以快速定位到具体的负责人员，每个单位可能会针对编号有自己的规则和含义,抄表段编号指用户的抄表段编号，根据抄表段编号规则，基层单位可以快速定位到具体的负责人员，每个单位可能会针对编号有自己的规则和含义
MR_SECT_ATTR,VARCHAR2(256),抄表段属性,通过抄表段的属性来区分抄表段编号下的用户的特殊属性，例如市场化用户、高压用户、居民用户等等。,抄表段属性通过抄表段的属性来区分抄表段编号下的用户的特殊属性，例如市场化用户、高压用户、居民用户等等。
LINE_NAME,VARCHAR2(256),线路名称,用户所属供电线路的名称。,线路名称用户所属供电线路的名称。
TG_NO,VARCHAR2(16),台区编号,用户所属的台区编号,台区编号用户所属的台区编号
TG_NAME,VARCHAR2(256),台区名称,用户所属的台区名称,台区名称用户所属的台区名称
PUB_PRIV_FLAG,VARCHAR2(256),台区性质,用户所属的台区的性质，分公用台区和专用台区，一般低压用户所属的台区性质是公用，高压用户所属台区为专用。,台区性质用户所属的台区的性质，分公用台区和专用台区，一般低压用户所属的台区性质是公用，高压用户所属台区为专用。
SUBS_NAME,VARCHAR2(256),变电站名称,用户所属的变电站名称,变电站名称用户所属的变电站名称
BUILD_DATE,VARCHAR2(8),立户日期,用户在营销系统中建档的完成时间。,立户日期用户在营销系统中建档的完成时间。
PS_DATE,VARCHAR2(8),送电日期,用户现场实际送电的时间,送电日期用户现场实际送电的时间
BAR_CODE,VARCHAR2(32),条形码,用户现场电能表的条形编码,条形码用户现场电能表的条形编码
MP_NO,VARCHAR2(16),计量点编号,用户下可能存在多个计量点定义，每个计量点应对应一个电价，电能表是挂在计量点下的，在营销系统中，计量点是最小的计费单位，应收电费和电量都是以计量点为单位生成的。,计量点编号用户下可能存在多个计量点定义，每个计量点应对应一个电价，电能表是挂在计量点下的，在营销系统中，计量点是最小的计费单位，应收电费和电量都是以计量点为单位生成的。
PRC_CODE,VARCHAR2(8),电价编码,用户具体执行什么电价是通过电价编码控制，每个电价编码对应不同的电价构成，是核算发行的依据。电价编码的前三位与用电类别一致，电价编码的4-5位应该与电压等级相符。,电价编码用户具体执行什么电价是通过电价编码控制，每个电价编码对应不同的电价构成，是核算发行的依据。电价编码的前三位与用电类别一致，电价编码的4-5位应该与电压等级相符。
CAT_PRC_NAME,VARCHAR2(256),电价名称,电价编码的中文名称，特殊电价例如煤改电、充电桩、学校等电价的识别都是通过关键字与名称匹配进行筛选过滤的。,电价名称电价编码的中文名称，特殊电价例如煤改电、充电桩、学校等电价的识别都是通过关键字与名称匹配进行筛选过滤的。
MP_ID,NUMBER(16),计量点ID,计量点的ID是计量点的唯一标识，在后台关联条件时多用于检索关联用，是计量点表的主键,计量点ID计量点的ID是计量点的唯一标识，在后台关联条件时多用于检索关联用，是计量点表的主键
TARIFF_ID,NUMBER(16),电价方案ID,计量点与电价对应的方案ID，这个多为关联用户计量点对应的电价时用到的关联条件。,电价方案ID计量点与电价对应的方案ID，这个多为关联用户计量点对应的电价时用到的关联条件。
SP_ID,NUMBER(16),受电点ID,用于关联用户受电点上的信息的关联条件。,受电点ID用于关联用户受电点上的信息的关联条件。
MP_NAME,VARCHAR2(256),计量点名称,计量点名称,计量点名称计量点名称
MP_ADDR,VARCHAR2(256),计量点地址,计量点地址,计量点地址计量点地址
TYPE_CODE,VARCHAR2(8),计量点分类,01用电客户；02关口；03发电上网关口,计量点分类01用电客户；02关口；03发电上网关口
MP_ATTR_CODE,VARCHAR2(8),计量点性质,指用户下计量点的计量性质，01为结算，一般的计费用户应该都为01结算计量点，02考核对应的是考核用户；码表prop_type_id = 'mp_attr_code',计量点性质指用户下计量点的计量性质，01为结算，一般的计费用户应该都为01结算计量点，02考核对应的是考核用户；码表prop_type_id = 'mp_attr_code'
USAGE_TYPE_CODE,VARCHAR2(8),计量点用途,指用户计量点的所属用途，01为售电侧结算；02为台区供电考核；1101和1102是特殊的分布式电源用户应用的，分别对应发电关口和上网关口,计量点用途指用户计量点的所属用途，01为售电侧结算；02为台区供电考核；1101和1102是特殊的分布式电源用户应用的，分别对应发电关口和上网关口
MP_VOLT_CODE,VARCHAR2(8),计量点电压等级,指用户计量侧的电压等级，与计量方式中高计和低计相对应,计量点电压等级指用户计量侧的电压等级，与计量方式中高计和低计相对应
RUN_DATE,DATE,投运日期,计量点投运日期,投运日期计量点投运日期
WIRING_MODE,VARCHAR2(8),接线方式,与用户的运行容量、电压等级相符，低压用户一般都是单相接线方式，高压用户存在三相三线和三相四线的方式,接线方式与用户的运行容量、电压等级相符，低压用户一般都是单相接线方式，高压用户存在三相三线和三相四线的方式
MP_MEAS_MODE,VARCHAR2(8),计量点计量方式,与用户计量方式相符,计量点计量方式与用户计量方式相符
MD_TYPE_CODE,VARCHAR2(8),计量装置分类,与电能表属性相符，一般低压居民类为5类计量装置,计量装置分类与电能表属性相符，一般低压居民类为5类计量装置
METER_FLAG,VARCHAR2(8),是否装表,与计量点下是否挂表实抄相符，如果存在电能表该字段应为1,是否装表与计量点下是否挂表实抄相符，如果存在电能表该字段应为1
STATUS_CODE,VARCHAR2(8),计量点状态,计量点的状态，非停运和拆除,计量点状态计量点的状态，非停运和拆除
LC_FLAG,VARCHAR2(8),是否安装负控装置,如果安装负控装置了为1,是否安装负控装置如果安装负控装置了为1
CALC_MODE,VARCHAR2(8),计算方式,指计量点计算电量的方式，如果计量点下挂表，应该对应实抄，如果计量点是不挂表应该对应定比或者定量方式或者按日协定,计算方式指计量点计算电量的方式，如果计量点下挂表，应该对应实抄，如果计量点是不挂表应该对应定比或者定量方式或者按日协定
MP_LEVEL,NUMBER(5),计量点等级,计量点的等级，用户下存在多个计量点的时候，通过计量点等级可区分层级,计量点等级计量点的等级，用户下存在多个计量点的时候，通过计量点等级可区分层级
FQR_VALUE,"NUMBER(17,7)",定比定量值,如果计量点的计算方式为定比或者定量，那么对应的定比值和定量值应该在这个字段维护,定比定量值如果计量点的计算方式为定比或者定量，那么对应的定比值和定量值应该在这个字段维护
TL_SHARE_FLAG,VARCHAR2(8),变损分摊方式,用户如果计算变损，需要将变损电量分摊给不同计量点，通过这个分摊方式进行分摊，1按电量分摊（电量为零时按容量）；2按用户协定值；3按定比；4按电量；5按电量分摊（电量为零时平分）,变损分摊方式用户如果计算变损，需要将变损电量分摊给不同计量点，通过这个分摊方式进行分摊，1按电量分摊（电量为零时按容量）；2按用户协定值；3按定比；4按电量；5按电量分摊（电量为零时平分）
LL_SHARE_FLAG,VARCHAR2(8),线损分摊标识,用户为专线用户，线损计费标识为是,线损分摊标识用户为专线用户，线损计费标识为是
TL_BILL_FLAG,VARCHAR2(8),变损计费标识,用户为高供低计用户，变损计费标识应该为是,变损计费标识用户为高供低计用户，变损计费标识应该为是
LL_BILL_FLAG,VARCHAR2(8),线损计费标识,用户为专线用户，线损计费标识为是,线损计费标识用户为专线用户，线损计费标识为是
LL_CALC_MODE,VARCHAR2(8),线损的计算方式,0不计算；1按定比；2按定量；3按电量比例,线损的计算方式0不计算；1按定比；2按定量；3按电量比例
MP_CAP,"NUMBER(16,6)",计量点容量,用户下每个计量点对应的用电容量，用户下所有计量点的容量合计应该与用户的运行容量一致,计量点容量用户下每个计量点对应的用电容量，用户下所有计量点的容量合计应该与用户的运行容量一致
LL_SHARE_VALUE,"NUMBER(12,4)",线损分摊协议值,线损分摊的协议值,线损分摊协议值线损分摊的协议值
TL_SHARE_VALUE,"NUMBER(12,4)",变损分摊协议值,变损分摊协议值,变损分摊协议值变损分摊协议值
MARKET_TYPE,VARCHAR2(8),市场化属性,用户计量点的市场化属性，01非市场化；02市场化零售；03市场化直接交易；04普通代理购电；05退市代理购电；06拥有燃煤自备电厂代购；07高耗能代购。,市场化属性用户计量点的市场化属性，01非市场化；02市场化零售；03市场化直接交易；04普通代理购电；05退市代理购电；06拥有燃煤自备电厂代购；07高耗能代购。
PF_STD_CODE,VARCHAR2(8),功率因数标准,根据不同用户的性质，对每个用户不同的功率因数考核的标准，大工业用户执行0.9；农业生产用户容量大于等于100KVA的用户执行0.8；非工业用户大于等于100KVA执行0.85；非居民照明类用户大于等于100KVA执行0.85；商业用户大于等于100KVA执行0.85；普通工业大于等于100KVA且小于160KVA执行0.85；普通工业大于等于160KVA执行0.9；居民类和考核类和趸售类不执行。,功率因数标准根据不同用户的性质，对每个用户不同的功率因数考核的标准，大工业用户执行0.9；农业生产用户容量大于等于100KVA的用户执行0.8；非工业用户大于等于100KVA执行0.85；非居民照明类用户大于等于100KVA执行0.85；商业用户大于等于100KVA执行0.85；普通工业大于等于100KVA且小于160KVA执行0.85；普通工业大于等于160KVA执行0.9；居民类和考核类和趸售类不执行。
PRC_TRADE_CODE,VARCHAR2(8),电价行业类别,指用户执行具体电价编码对应的所属的全民经济行业类别，与sa_c_trade_type表关联,电价行业类别指用户执行具体电价编码对应的所属的全民经济行业类别，与sa_c_trade_type表关联
TS_FLAG,VARCHAR2(8),是否执行分时,是否执行分时电价，执行尖峰、平、峰、谷等分时电价,是否执行分时是否执行分时电价，执行尖峰、平、峰、谷等分时电价
DIR_FLAG,VARCHAR2(8),不适宜错峰用电的一般工商业用户,一般工商业用户不执行分时的特殊描述,不适宜错峰用电的一般工商业用户一般工商业用户不执行分时的特殊描述
BA_TYPE_CODE,VARCHAR2(8),定价策略,用户定价策略信息，01为两部制电价用户，需要计收基本电费;02为单一制用户，不收取基本费；码表prop_type_id = 'prc_type_code',定价策略用户定价策略信息，01为两部制电价用户，需要计收基本电费;02为单一制用户，不收取基本费；码表prop_type_id = 'prc_type_code'
BA_CALC_MODE,VARCHAR2(8),基本电费计算方式,执行基本电费计算的用户，具体的基本电费的计算方式，0不计算；1按容量；2合约最大需量；3按容量对比；4容需并存；5实际最大需量；9特殊算法,基本电费计算方式执行基本电费计算的用户，具体的基本电费的计算方式，0不计算；1按容量；2合约最大需量；3按容量对比；4容需并存；5实际最大需量；9特殊算法
DMD_SPEC_VALUE,"NUMBER(12,4)",需量核定值,基本电费计算方式为合约最大需量的方式时，需要维护需量核定值，参与基本费计算,需量核定值基本电费计算方式为合约最大需量的方式时，需要维护需量核定值，参与基本费计算
PF_EVAL_MODE,VARCHAR2(8),功率因数考核方式,黑龙江省应该都是1标准考核,功率因数考核方式黑龙江省应该都是1标准考核
